2026-04-08 06:48:07 | INFO | kuairand_rec.train_rank | Ranked val chunk 6 rows=300000 device=cuda
2026-04-08 06:48:49 | INFO | kuairand_rec.train_rank | Ranked val chunk 7 rows=300000 device=cuda
2026-04-08 06:48:51 | INFO | kuairand_rec.train_rank | Ranked val chunk 8 rows=18400 device=cuda
2026-04-08 06:49:08 | INFO | kuairand_rec.train_rank | Saved val ranked candidates: /scratch/ym3447/Rec/artifacts/rank/val_ranked.parquet rows=2118400
2026-04-08 06:49:50 | INFO | kuairand_rec.train_rank | Ranked test chunk 1 rows=300000 device=cuda
2026-04-08 06:50:31 | INFO | kuairand_rec.train_rank | Ranked test chunk 2 rows=300000 device=cuda
2026-04-08 06:51:12 | INFO | kuairand_rec.train_rank | Ranked test chunk 3 rows=300000 device=cuda
2026-04-08 06:51:53 | INFO | kuairand_rec.train_rank | Ranked test chunk 4 rows=300000 device=cuda
2026-04-08 06:52:35 | INFO | kuairand_rec.train_rank | Ranked test chunk 5 rows=300000 device=cuda
2026-04-08 06:53:16 | INFO | kuairand_rec.train_rank | Ranked test chunk 6 rows=300000 device=cuda
2026-04-08 06:53:57 | INFO | kuairand_rec.train_rank | Ranked test chunk 7 rows=300000 device=cuda
2026-04-08 06:54:21 | INFO | kuairand_rec.train_rank | Ranked test chunk 8 rows=170900 device=cuda
2026-04-08 06:54:39 | INFO | kuairand_rec.train_rank | Saved test ranked candidates: /scratch/ym3447/Rec/artifacts/rank/test_ranked.parquet rows=2270900
2026-04-08 06:54:39 | INFO | kuairand_rec.train_rank | Saved rank inference metrics: /scratch/ym3447/Rec/artifacts/metrics/rank_metrics.json
2026-04-08 06:54:39 | INFO | kuairand_rec.train_rank | Rank inference metrics summary: {'val': {'num_candidates': 2118400, 'num_users': 21184, 'positive_any': 10435, 'long_watch_auc': 0.5745860044021092, 'long_watch_logloss': 0.1360386727355377, 'finish_auc': 0.6595517297911745, 'finish_logloss': 0.052006538922658094, 'like_auc': 0.6200917324494221, 'like_logloss': 0.0037214518210876555, 'rank_auc': 0.5753376648384751, 'ndcg@10': 0.018293167242668277, 'ndcg@20': 0.02947262809407394, 'mrr@10': 0.015644275553877138}, 'test': {'num_candidates': 2270900, 'num_users': 22709, 'positive_any': 14101, 'long_watch_auc': 0.5837891809070374, 'long_watch_logloss': 0.14975131884885176, 'finish_auc': 0.6663208454620589, 'finish_logloss': 0.059730659619170554, 'like_auc': 0.6218724662548436, 'like_logloss': 0.004466041272553434, 'rank_auc': 0.5844769407586917, 'ndcg@10': 0.02314216735875194, 'ndcg@20': 0.03592114437735053, 'mrr@10': 0.02050756744930861}}
